,Time,Total_Reward,Reward,Deadline,Episode
0,0,0.0,0.0,25,1
1,1,-1.0,-1.0,24,1
2,2,-1.5,-0.5,23,1
3,3,-1.5,0.0,22,1
4,4,-2.0,-0.5,21,1
5,5,-2.5,-0.5,20,1
6,6,-3.5,-1.0,19,1
7,7,-4.5,-1.0,18,1
8,8,-4.5,0.0,17,1
9,9,-5.5,-1.0,16,1
10,10,-6.0,-0.5,15,1
11,11,-4.0,2.0,14,1
12,12,-5.0,-1.0,13,1
13,13,-6.0,-1.0,12,1
14,14,-7.0,-1.0,11,1
15,15,-5.0,2.0,10,1
16,16,-5.0,0.0,9,1
17,17,-6.0,-1.0,8,1
18,18,-4.0,2.0,7,1
19,19,-2.0,2.0,6,1
20,20,0.0,2.0,5,1
21,21,0.0,0.0,4,1
22,22,0.0,0.0,3,1
23,23,0.0,0.0,2,1
24,24,2.0,2.0,1,1
25,25,2.0,0.0,0,1
26,0,0.0,0.0,40,2
27,1,-1.0,-1.0,39,2
28,2,1.0,2.0,38,2
29,3,3.0,2.0,37,2
30,4,2.5,-0.5,36,2
31,5,2.0,-0.5,35,2
32,6,4.0,2.0,34,2
33,7,6.0,2.0,33,2
34,8,6.0,0.0,32,2
35,9,5.0,-1.0,31,2
36,10,7.0,2.0,30,2
37,11,9.0,2.0,29,2
38,12,8.0,-1.0,28,2
39,13,7.5,-0.5,27,2
40,14,6.5,-1.0,26,2
41,15,6.5,0.0,25,2
42,16,8.5,2.0,24,2
43,17,10.5,2.0,23,2
44,18,12.5,2.0,22,2
45,19,14.5,2.0,21,2
46,20,14.5,0.0,20,2
47,21,14.5,0.0,19,2
48,22,14.5,0.0,18,2
49,23,13.5,-1.0,17,2
50,24,13.5,0.0,16,2
51,25,15.5,2.0,15,2
52,26,14.5,-1.0,14,2
53,27,14.0,-0.5,13,2
54,28,14.0,0.0,12,2
55,29,13.0,-1.0,11,2
56,30,15.0,2.0,10,2
57,31,14.5,-0.5,9,2
58,32,14.0,-0.5,8,2
59,33,16.0,2.0,7,2
60,34,16.0,0.0,6,2
61,35,18.0,2.0,5,2
62,36,18.0,0.0,4,2
63,37,17.0,-1.0,3,2
64,38,16.5,-0.5,2,2
65,39,16.5,0.0,1,2
66,40,18.5,2.0,0,2
67,0,-1.0,-1.0,30,3
68,1,-2.0,-1.0,29,3
69,2,-2.0,0.0,28,3
70,3,-3.0,-1.0,27,3
71,4,-3.0,0.0,26,3
72,5,-1.0,2.0,25,3
73,6,1.0,2.0,24,3
74,7,3.0,2.0,23,3
75,8,5.0,2.0,22,3
76,9,4.5,-0.5,21,3
77,10,6.5,2.0,20,3
78,11,8.5,2.0,19,3
79,12,10.5,2.0,18,3
80,13,12.5,2.0,17,3
