,Time,Total_Reward,Reward,Deadline,Episode
0,0,2.0,2.0,40,1
1,1,1.0,-1.0,39,1
2,2,1.0,0.0,38,1
3,3,1.0,0.0,37,1
4,4,0.5,-0.5,36,1
5,5,-0.5,-1.0,35,1
6,6,-1.5,-1.0,34,1
7,7,-1.5,0.0,33,1
8,8,-2.0,-0.5,32,1
9,9,-3.0,-1.0,31,1
10,10,-3.5,-0.5,30,1
11,11,-4.5,-1.0,29,1
12,12,-5.5,-1.0,28,1
13,13,-6.5,-1.0,27,1
14,14,-7.5,-1.0,26,1
15,15,-5.5,2.0,25,1
16,16,-5.5,0.0,24,1
17,17,-6.5,-1.0,23,1
18,18,-7.5,-1.0,22,1
19,19,-8.0,-0.5,21,1
20,20,-6.0,2.0,20,1
21,21,-6.5,-0.5,19,1
22,22,-7.0,-0.5,18,1
23,23,-5.0,2.0,17,1
24,24,-6.0,-1.0,16,1
25,25,-7.0,-1.0,15,1
26,26,-8.0,-1.0,14,1
27,27,-9.0,-1.0,13,1
28,28,-7.0,2.0,12,1
29,29,-7.5,-0.5,11,1
30,30,-8.5,-1.0,10,1
31,31,-9.0,-0.5,9,1
32,32,-10.0,-1.0,8,1
33,33,-8.0,2.0,7,1
34,34,-9.0,-1.0,6,1
35,35,-10.0,-1.0,5,1
36,36,-8.0,2.0,4,1
37,37,-8.5,-0.5,3,1
38,38,-8.5,0.0,2,1
39,39,-6.5,2.0,1,1
40,40,-7.5,-1.0,0,1
41,0,2.0,2.0,45,2
42,1,4.0,2.0,44,2
43,2,6.0,2.0,43,2
44,3,8.0,2.0,42,2
45,4,10.0,2.0,41,2
46,5,10.0,0.0,40,2
47,6,9.0,-1.0,39,2
48,7,8.0,-1.0,38,2
49,8,8.0,0.0,37,2
50,9,8.0,0.0,36,2
51,10,7.0,-1.0,35,2
52,11,9.0,2.0,34,2
53,12,8.0,-1.0,33,2
54,13,7.5,-0.5,32,2
55,14,9.5,2.0,31,2
56,15,9.0,-0.5,30,2
57,16,11.0,2.0,29,2
58,17,11.0,0.0,28,2
59,18,11.0,0.0,27,2
60,19,10.0,-1.0,26,2
61,20,12.0,2.0,25,2
62,21,11.5,-0.5,24,2
63,22,13.5,2.0,23,2
64,23,13.0,-0.5,22,2
65,24,12.0,-1.0,21,2
66,25,11.0,-1.0,20,2
