,Time,Reward,Deadline,Episode
0,0,0.0,30,1
1,1,-1.0,29,1
2,2,-2.0,28,1
3,3,0.0,27,1
4,4,-1.0,26,1
5,5,-1.0,25,1
6,6,-1.5,24,1
7,7,0.5,23,1
8,8,-0.5,22,1
9,9,-1.5,21,1
10,10,-1.5,20,1
11,11,-2.0,19,1
12,12,0.0,18,1
13,13,-1.0,17,1
14,14,-1.0,16,1
15,15,-1.0,15,1
16,16,-1.5,14,1
17,17,-2.5,13,1
18,18,-0.5,12,1
19,19,-1.5,11,1
20,20,-2.0,10,1
21,21,-3.0,9,1
22,22,-3.5,8,1
23,23,-3.5,7,1
24,24,-4.0,6,1
25,25,-5.0,5,1
26,26,-6.0,4,1
27,27,-6.0,3,1
28,28,-6.5,2,1
29,29,-4.5,1,1
30,30,-2.5,0,1
31,0,-1.0,25,2
32,1,-1.5,24,2
33,2,-1.5,23,2
34,3,-2.5,22,2
35,4,-3.5,21,2
36,5,-1.5,20,2
37,6,-2.5,19,2
38,7,-3.5,18,2
39,8,-1.5,17,2
40,9,-2.0,16,2
41,10,-2.0,15,2
42,11,-3.0,14,2
43,12,-1.0,13,2
44,13,-2.0,12,2
45,14,-2.0,11,2
46,15,-3.0,10,2
47,16,-1.0,9,2
48,17,-1.5,8,2
49,18,-2.5,7,2
50,19,-2.5,6,2
51,20,-0.5,5,2
52,21,-1.5,4,2
53,22,0.5,3,2
54,23,2.5,2,2
55,24,2.0,1,2
56,25,4.0,0,2
57,0,2.0,20,3
58,1,4.0,19,3
59,2,6.0,18,3
60,3,5.0,17,3
61,4,4.5,16,3
62,5,6.5,15,3
63,6,8.5,14,3
64,7,10.5,13,3
65,8,12.5,12,3
66,9,11.5,11,3
67,10,11.0,10,3
68,11,13.0,9,3
69,12,15.0,8,3
70,13,27.0,7,3
71,0,0.0,20,4
72,1,-1.0,19,4
73,2,-1.0,18,4
74,3,-1.5,17,4
75,4,0.5,16,4
76,5,-0.5,15,4
77,6,-1.5,14,4
78,7,-1.5,13,4
79,8,-2.0,12,4
80,9,-3.0,11,4
81,10,9.0,10,4
82,0,-1.0,25,5
83,1,-1.5,24,5
84,2,0.5,23,5
85,3,12.5,22,5
86,0,2.0,25,6
87,1,4.0,24,6
88,2,3.5,23,6
89,3,5.5,22,6
90,4,17.5,21,6
91,0,2.0,45,7
92,1,4.0,44,7
93,2,3.5,43,7
94,3,5.5,42,7
95,4,5.0,41,7
96,5,7.0,40,7
97,6,6.5,39,7
98,7,8.5,38,7
99,8,8.0,37,7
100,9,10.0,36,7
101,10,22.0,35,7
102,0,2.0,30,8
103,1,1.5,29,8
104,2,1.0,28,8
105,3,3.0,27,8
106,4,2.5,26,8
107,5,1.5,25,8
108,6,3.5,24,8
109,7,5.5,23,8
110,8,5.0,22,8
111,9,7.0,21,8
112,10,19.0,20,8
113,0,2.0,35,9
114,1,1.5,34,9
115,2,3.5,33,9
116,3,3.0,32,9
117,4,2.5,31,9
118,5,4.5,30,9
119,6,6.5,29,9
120,7,6.0,28,9
121,8,8.0,27,9
122,9,10.0,26,9
123,10,9.5,25,9
124,11,11.5,24,9
125,12,11.0,23,9
126,13,13.0,22,9
127,14,15.0,21,9
128,15,17.0,20,9
129,16,19.0,19,9
130,17,18.5,18,9
131,18,20.5,17,9
132,19,22.5,16,9
133,20,22.0,15,9
134,21,24.0,14,9
135,22,26.0,13,9
136,23,28.0,12,9
137,24,27.5,11,9
138,25,29.5,10,9
139,26,29.0,9,9
140,27,31.0,8,9
141,28,33.0,7,9
142,29,32.5,6,9
143,30,44.5,5,9
144,0,-0.5,20,10
145,1,-0.5,19,10
146,2,1.5,18,10
147,3,1.0,17,10
148,4,3.0,16,10
149,5,2.5,15,10
150,6,14.5,14,10
151,0,2.0,35,11
152,1,1.5,34,11
153,2,3.5,33,11
154,3,3.0,32,11
155,4,2.5,31,11
156,5,4.5,30,11
157,6,6.5,29,11
158,7,6.0,28,11
159,8,8.0,27,11
160,9,7.5,26,11
161,10,7.0,25,11
162,11,9.0,24,11
163,12,11.0,23,11
164,13,10.5,22,11
165,14,12.5,21,11
166,15,12.0,20,11
167,16,24.0,19,11
168,0,2.0,20,12
169,1,1.5,19,12
170,2,3.5,18,12
171,3,3.0,17,12
172,4,5.0,16,12
173,5,5.0,15,12
174,6,4.0,14,12
175,7,6.0,13,12
176,8,8.0,12,12
177,9,7.5,11,12
178,10,9.5,10,12
179,11,11.5,9,12
180,12,10.5,8,12
181,13,12.5,7,12
182,14,12.0,6,12
183,15,14.0,5,12
184,16,16.0,4,12
185,17,18.0,3,12
186,18,30.0,2,12
187,0,-0.5,40,13
188,1,1.5,39,13
189,2,1.0,38,13
190,3,3.0,37,13
191,4,3.0,36,13
192,5,2.5,35,13
193,6,4.5,34,13
194,7,4.0,33,13
195,8,6.0,32,13
196,9,5.5,31,13
197,10,5.0,30,13
198,11,7.0,29,13
199,12,9.0,28,13
200,13,8.5,27,13
201,14,10.5,26,13
202,15,10.5,25,13
203,16,12.5,24,13
204,17,12.0,23,13
205,18,14.0,22,13
206,19,13.0,21,13
207,20,25.0,20,13
208,0,-0.5,45,14
209,1,1.5,44,14
210,2,1.0,43,14
211,3,0.5,42,14
212,4,2.5,41,14
213,5,2.0,40,14
214,6,4.0,39,14
215,7,3.5,38,14
216,8,5.5,37,14
217,9,5.0,36,14
218,10,4.5,35,14
219,11,6.5,34,14
220,12,8.5,33,14
221,13,8.0,32,14
222,14,10.0,31,14
223,15,9.5,30,14
224,16,11.5,29,14
225,17,13.5,28,14
226,18,13.0,27,14
227,19,12.5,26,14
228,20,11.5,25,14
229,21,13.5,24,14
230,22,15.5,23,14
231,23,15.0,22,14
232,24,17.0,21,14
233,25,19.0,20,14
234,26,18.0,19,14
235,27,17.5,18,14
236,28,17.0,17,14
237,29,16.0,16,14
238,30,15.5,15,14
239,31,17.5,14,14
240,32,17.0,13,14
241,33,16.5,12,14
242,34,18.5,11,14
243,35,18.0,10,14
244,36,20.0,9,14
245,37,19.5,8,14
246,38,19.0,7,14
247,39,21.0,6,14
248,40,23.0,5,14
249,41,22.5,4,14
250,42,24.5,3,14
251,43,24.0,2,14
252,44,26.0,1,14
253,45,25.5,0,14
254,0,-0.5,20,15
255,1,1.5,19,15
256,2,3.5,18,15
257,3,3.0,17,15
258,4,2.5,16,15
259,5,4.5,15,15
260,6,6.5,14,15
261,7,6.0,13,15
262,8,8.0,12,15
263,9,7.5,11,15
264,10,7.0,10,15
265,11,9.0,9,15
266,12,11.0,8,15
267,13,10.5,7,15
268,14,12.5,6,15
269,15,12.0,5,15
270,16,14.0,4,15
271,17,16.0,3,15
272,18,18.0,2,15
273,19,17.5,1,15
274,20,19.5,0,15
275,0,-0.5,25,16
276,1,-1.0,24,16
277,2,1.0,23,16
278,3,0.5,22,16
279,4,0.0,21,16
280,5,2.0,20,16
281,6,4.0,19,16
282,7,3.5,18,16
283,8,15.5,17,16
284,0,2.0,20,17
285,1,4.0,19,17
286,2,3.5,18,17
287,3,5.5,17,17
288,4,7.5,16,17
289,5,9.5,15,17
290,6,9.0,14,17
291,7,11.0,13,17
292,8,13.0,12,17
293,9,12.5,11,17
294,10,14.5,10,17
295,11,16.5,9,17
296,12,18.5,8,17
297,13,30.5,7,17
298,0,-0.5,40,18
299,1,1.5,39,18
300,2,1.0,38,18
301,3,0.5,37,18
302,4,2.5,36,18
303,5,4.5,35,18
304,6,4.0,34,18
305,7,6.0,33,18
306,8,6.0,32,18
307,9,5.5,31,18
308,10,5.0,30,18
309,11,7.0,29,18
310,12,9.0,28,18
311,13,8.5,27,18
312,14,10.5,26,18
313,15,10.0,25,18
314,16,9.5,24,18
315,17,11.5,23,18
316,18,13.5,22,18
317,19,13.0,21,18
318,20,15.0,20,18
319,21,14.5,19,18
320,22,16.5,18,18
321,23,16.0,17,18
322,24,18.0,16,18
323,25,17.5,15,18
324,26,19.5,14,18
325,27,21.5,13,18
326,28,21.0,12,18
327,29,23.0,11,18
328,30,25.0,10,18
329,31,27.0,9,18
330,32,26.5,8,18
331,33,26.0,7,18
332,34,25.0,6,18
333,35,24.0,5,18
334,36,26.0,4,18
335,37,25.5,3,18
336,38,27.5,2,18
337,39,27.0,1,18
338,40,26.5,0,18
339,0,-0.5,35,19
340,1,1.5,34,19
341,2,1.0,33,19
342,3,0.5,32,19
343,4,2.5,31,19
344,5,4.5,30,19
345,6,4.0,29,19
346,7,6.0,28,19
347,8,5.0,27,19
348,9,4.0,26,19
349,10,3.5,25,19
350,11,5.5,24,19
351,12,5.0,23,19
352,13,4.5,22,19
353,14,6.5,21,19
354,15,8.5,20,19
355,16,8.0,19,19
356,17,10.0,18,19
357,18,9.0,17,19
358,19,8.5,16,19
359,20,10.5,15,19
360,21,10.0,14,19
361,22,12.0,13,19
362,23,11.5,12,19
363,24,13.5,11,19
364,25,25.5,10,19
365,0,-0.5,25,20
366,1,1.5,24,20
367,2,1.0,23,20
368,3,0.5,22,20
369,4,2.5,21,20
370,5,4.5,20,20
371,6,4.0,19,20
372,7,6.0,18,20
373,8,5.5,17,20
374,9,7.5,16,20
375,10,7.0,15,20
376,11,9.0,14,20
377,12,11.0,13,20
378,13,10.5,12,20
379,14,12.5,11,20
380,15,11.5,10,20
381,16,11.0,9,20
382,17,13.0,8,20
383,18,15.0,7,20
384,19,14.5,6,20
385,20,14.0,5,20
386,21,16.0,4,20
387,22,15.0,3,20
388,23,14.0,2,20
389,24,16.0,1,20
390,25,15.5,0,20
391,0,2.0,40,21
392,1,1.5,39,21
393,2,3.5,38,21
394,3,5.5,37,21
395,4,5.0,36,21
396,5,4.0,35,21
397,6,6.0,34,21
398,7,8.0,33,21
399,8,20.0,32,21
400,0,2.0,25,22
401,1,4.0,24,22
402,2,6.0,23,22
403,3,8.0,22,22
404,4,7.5,21,22
405,5,9.5,20,22
406,6,11.5,19,22
407,7,11.0,18,22
408,8,13.0,17,22
409,9,15.0,16,22
410,10,14.5,15,22
411,11,16.5,14,22
412,12,18.5,13,22
413,13,20.5,12,22
414,14,22.5,11,22
415,15,22.5,10,22
416,16,22.0,9,22
417,17,22.0,8,22
418,18,24.0,7,22
419,19,26.0,6,22
420,20,25.5,5,22
421,21,27.5,4,22
422,22,29.5,3,22
423,23,28.5,2,22
424,24,30.5,1,22
425,25,30.0,0,22
426,0,2.0,45,23
427,1,1.5,44,23
428,2,1.0,43,23
429,3,0.5,42,23
430,4,2.5,41,23
431,5,4.5,40,23
432,6,6.5,39,23
433,7,5.5,38,23
434,8,5.0,37,23
435,9,7.0,36,23
436,10,9.0,35,23
437,11,8.5,34,23
438,12,10.5,33,23
439,13,10.0,32,23
440,14,12.0,31,23
441,15,24.0,30,23
442,0,2.0,25,24
443,1,4.0,24,24
444,2,4.0,23,24
445,3,3.5,22,24
446,4,5.5,21,24
447,5,7.5,20,24
448,6,9.5,19,24
449,7,11.5,18,24
450,8,13.5,17,24
451,9,13.0,16,24
452,10,13.0,15,24
453,11,15.0,14,24
454,12,17.0,13,24
455,13,19.0,12,24
456,14,19.0,11,24
457,15,18.5,10,24
458,16,20.5,9,24
459,17,22.5,8,24
460,18,24.5,7,24
461,19,24.0,6,24
462,20,26.0,5,24
463,21,28.0,4,24
464,22,30.0,3,24
465,23,42.0,2,24
466,0,2.0,20,25
467,1,4.0,19,25
468,2,3.5,18,25
469,3,15.5,17,25
470,0,2.0,30,26
471,1,1.5,29,26
472,2,3.5,28,26
473,3,3.0,27,26
474,4,5.0,26,26
475,5,17.0,25,26
476,0,2.0,20,27
477,1,1.5,19,27
478,2,1.0,18,27
479,3,3.0,17,27
480,4,5.0,16,27
481,5,4.5,15,27
482,6,6.5,14,27
483,7,8.5,13,27
484,8,10.5,12,27
485,9,10.0,11,27
486,10,12.0,10,27
487,11,24.0,9,27
488,0,0.0,25,28
489,1,2.0,24,28
490,2,4.0,23,28
491,3,3.5,22,28
492,4,5.5,21,28
493,5,5.0,20,28
494,6,7.0,19,28
495,7,6.5,18,28
496,8,6.0,17,28
497,9,8.0,16,28
498,10,10.0,15,28
499,11,9.5,14,28
500,12,11.5,13,28
501,13,11.0,12,28
502,14,10.5,11,28
503,15,12.5,10,28
504,16,12.0,9,28
505,17,14.0,8,28
506,18,16.0,7,28
507,19,18.0,6,28
508,20,17.5,5,28
509,21,19.5,4,28
510,22,21.5,3,28
511,23,21.0,2,28
512,24,20.5,1,28
513,25,22.5,0,28
514,0,-0.5,30,29
515,1,-1.0,29,29
516,2,1.0,28,29
517,3,0.5,27,29
518,4,2.5,26,29
519,5,2.0,25,29
520,6,4.0,24,29
521,7,3.5,23,29
522,8,5.5,22,29
523,9,7.5,21,29
524,10,9.5,20,29
525,11,21.5,19,29
526,0,2.0,20,30
527,1,4.0,19,30
528,2,6.0,18,30
529,3,8.0,17,30
530,4,7.5,16,30
531,5,9.5,15,30
532,6,9.5,14,30
533,7,11.5,13,30
534,8,11.5,12,30
535,9,23.5,11,30
536,0,-0.5,20,31
537,1,1.5,19,31
538,2,1.0,18,31
539,3,3.0,17,31
540,4,2.5,16,31
541,5,1.5,15,31
542,6,3.5,14,31
543,7,5.5,13,31
544,8,5.0,12,31
545,9,7.0,11,31
546,10,6.5,10,31
547,11,8.5,9,31
548,12,10.5,8,31
549,13,10.0,7,31
550,14,12.0,6,31
551,15,14.0,5,31
552,16,13.5,4,31
553,17,15.5,3,31
554,18,17.5,2,31
555,19,19.5,1,31
556,20,19.5,0,31
557,0,2.0,35,32
558,1,1.5,34,32
559,2,0.5,33,32
560,3,0.5,32,32
561,4,-0.5,31,32
562,5,1.5,30,32
563,6,1.0,29,32
564,7,0.5,28,32
565,8,0.0,27,32
566,9,2.0,26,32
567,10,4.0,25,32
568,11,4.0,24,32
569,12,4.0,23,32
570,13,6.0,22,32
571,14,6.0,21,32
572,15,5.5,20,32
573,16,7.5,19,32
574,17,7.0,18,32
575,18,9.0,17,32
576,19,9.0,16,32
577,20,8.5,15,32
578,21,20.5,14,32
579,0,0.0,40,33
580,1,2.0,39,33
581,2,4.0,38,33
582,3,4.0,37,33
583,4,4.0,36,33
584,5,4.0,35,33
585,6,3.5,34,33
586,7,5.5,33,33
587,8,5.5,32,33
588,9,5.5,31,33
589,10,7.5,30,33
590,11,9.5,29,33
591,12,9.0,28,33
592,13,9.0,27,33
593,14,11.0,26,33
594,15,11.0,25,33
595,16,10.5,24,33
596,17,10.0,23,33
597,18,12.0,22,33
598,19,14.0,21,33
599,20,16.0,20,33
600,21,18.0,19,33
601,22,20.0,18,33
602,23,19.5,17,33
603,24,21.5,16,33
604,25,23.5,15,33
605,26,25.5,14,33
606,27,27.5,13,33
607,28,27.0,12,33
608,29,29.0,11,33
609,30,28.5,10,33
610,31,30.5,9,33
611,32,32.5,8,33
612,33,34.5,7,33
613,34,36.5,6,33
614,35,38.5,5,33
615,36,38.0,4,33
616,37,40.0,3,33
617,38,42.0,2,33
618,39,44.0,1,33
619,40,46.0,0,33
620,0,-0.5,25,34
621,1,-1.0,24,34
622,2,1.0,23,34
623,3,0.5,22,34
624,4,0.0,21,34
625,5,-0.5,20,34
626,6,1.5,19,34
627,7,1.0,18,34
628,8,0.5,17,34
629,9,0.0,16,34
630,10,-0.5,15,34
631,11,-1.0,14,34
632,12,1.0,13,34
633,13,3.0,12,34
634,14,5.0,11,34
635,15,4.5,10,34
636,16,4.0,9,34
637,17,6.0,8,34
638,18,8.0,7,34
639,19,7.0,6,34
640,20,6.5,5,34
641,21,6.0,4,34
642,22,6.0,3,34
643,23,6.0,2,34
644,24,5.5,1,34
645,25,7.5,0,34
646,0,-0.5,20,35
647,1,1.5,19,35
648,2,3.5,18,35
649,3,3.0,17,35
650,4,2.5,16,35
651,5,2.0,15,35
652,6,4.0,14,35
653,7,3.5,13,35
654,8,5.5,12,35
655,9,7.5,11,35
656,10,9.5,10,35
657,11,9.0,9,35
658,12,8.0,8,35
659,13,7.5,7,35
660,14,6.5,6,35
661,15,6.0,5,35
662,16,8.0,4,35
663,17,10.0,3,35
664,18,9.5,2,35
665,19,11.5,1,35
666,20,11.0,0,35
667,0,-0.5,25,36
668,1,1.5,24,36
669,2,1.0,23,36
670,3,3.0,22,36
671,4,2.5,21,36
672,5,1.5,20,36
673,6,1.0,19,36
674,7,0.0,18,36
675,8,-0.5,17,36
676,9,-1.0,16,36
677,10,-1.0,15,36
678,11,-1.5,14,36
679,12,0.5,13,36
680,13,2.5,12,36
681,14,4.5,11,36
682,15,6.5,10,36
683,16,8.5,9,36
684,17,20.5,8,36
685,0,-0.5,20,37
686,1,1.5,19,37
687,2,1.0,18,37
688,3,0.5,17,37
689,4,0.0,16,37
690,5,-0.5,15,37
691,6,-1.5,14,37
692,7,0.5,13,37
693,8,0.0,12,37
694,9,2.0,11,37
695,10,1.0,10,37
696,11,3.0,9,37
697,12,2.5,8,37
698,13,2.0,7,37
699,14,1.5,6,37
700,15,0.5,5,37
701,16,2.5,4,37
702,17,2.0,3,37
703,18,4.0,2,37
704,19,3.5,1,37
705,20,3.0,0,37
706,0,2.0,20,38
707,1,1.5,19,38
708,2,3.5,18,38
709,3,3.0,17,38
710,4,2.5,16,38
711,5,4.5,15,38
712,6,6.5,14,38
713,7,6.0,13,38
714,8,5.5,12,38
715,9,7.5,11,38
716,10,7.5,10,38
717,11,7.0,9,38
718,12,9.0,8,38
719,13,11.0,7,38
720,14,13.0,6,38
721,15,12.5,5,38
722,16,11.5,4,38
723,17,13.5,3,38
724,18,15.5,2,38
725,19,17.5,1,38
726,20,19.5,0,38
727,0,-0.5,30,39
728,1,-1.0,29,39
729,2,-1.5,28,39
730,3,0.5,27,39
731,4,0.0,26,39
732,5,2.0,25,39
733,6,1.5,24,39
734,7,1.0,23,39
735,8,0.5,22,39
736,9,2.5,21,39
737,10,4.5,20,39
738,11,4.5,19,39
739,12,4.0,18,39
740,13,4.0,17,39
741,14,3.5,16,39
742,15,3.0,15,39
743,16,5.0,14,39
744,17,7.0,13,39
745,18,7.0,12,39
746,19,7.0,11,39
747,20,6.5,10,39
748,21,6.0,9,39
749,22,8.0,8,39
750,23,7.5,7,39
751,24,9.5,6,39
752,25,21.5,5,39
753,0,-0.5,45,40
754,1,1.5,44,40
755,2,3.5,43,40
756,3,3.0,42,40
757,4,5.0,41,40
758,5,4.0,40,40
759,6,3.5,39,40
760,7,2.5,38,40
761,8,2.0,37,40
762,9,4.0,36,40
763,10,3.5,35,40
764,11,3.0,34,40
765,12,5.0,33,40
766,13,5.0,32,40
767,14,4.5,31,40
768,15,3.5,30,40
769,16,3.0,29,40
770,17,2.5,28,40
771,18,2.0,27,40
772,19,1.5,26,40
773,20,3.5,25,40
774,21,2.5,24,40
775,22,4.5,23,40
776,23,4.0,22,40
777,24,4.0,21,40
778,25,3.0,20,40
779,26,3.0,19,40
780,27,2.0,18,40
781,28,4.0,17,40
782,29,4.0,16,40
783,30,6.0,15,40
784,31,5.5,14,40
785,32,7.5,13,40
786,33,9.5,12,40
787,34,11.5,11,40
788,35,13.5,10,40
789,36,13.0,9,40
790,37,15.0,8,40
791,38,27.0,7,40
792,0,2.0,20,41
793,1,4.0,19,41
794,2,6.0,18,41
795,3,5.5,17,41
796,4,7.5,16,41
797,5,9.5,15,41
798,6,11.5,14,41
799,7,13.5,13,41
800,8,12.5,12,41
801,9,12.0,11,41
802,10,14.0,10,41
803,11,16.0,9,41
804,12,18.0,8,41
805,13,17.5,7,41
806,14,19.5,6,41
807,15,21.5,5,41
808,16,33.5,4,41
809,0,0.0,35,42
810,1,2.0,34,42
811,2,2.0,33,42
812,3,4.0,32,42
813,4,6.0,31,42
814,5,5.5,30,42
815,6,7.5,29,42
816,7,9.5,28,42
817,8,9.0,27,42
818,9,8.5,26,42
819,10,8.5,25,42
820,11,10.5,24,42
821,12,12.5,23,42
822,13,14.5,22,42
823,14,16.5,21,42
824,15,16.0,20,42
825,16,18.0,19,42
826,17,20.0,18,42
827,18,22.0,17,42
828,19,21.0,16,42
829,20,23.0,15,42
830,21,22.5,14,42
831,22,24.5,13,42
832,23,26.5,12,42
833,24,28.5,11,42
834,25,30.5,10,42
835,26,30.0,9,42
836,27,32.0,8,42
837,28,34.0,7,42
838,29,36.0,6,42
839,30,48.0,5,42
840,0,2.0,50,43
841,1,1.5,49,43
842,2,3.5,48,43
843,3,5.5,47,43
844,4,5.0,46,43
845,5,7.0,45,43
846,6,6.5,44,43
847,7,6.0,43,43
848,8,8.0,42,43
849,9,10.0,41,43
850,10,12.0,40,43
851,11,14.0,39,43
852,12,16.0,38,43
853,13,28.0,37,43
854,0,-0.5,30,44
855,1,1.5,29,44
856,2,3.5,28,44
857,3,5.5,27,44
858,4,5.0,26,44
859,5,4.5,25,44
860,6,6.5,24,44
861,7,8.5,23,44
862,8,10.5,22,44
863,9,9.5,21,44
864,10,11.5,20,44
865,11,11.0,19,44
866,12,10.5,18,44
867,13,12.5,17,44
868,14,14.5,16,44
869,15,16.5,15,44
870,16,16.0,14,44
871,17,15.0,13,44
872,18,14.0,12,44
873,19,14.0,11,44
874,20,16.0,10,44
875,21,15.0,9,44
876,22,14.5,8,44
877,23,14.0,7,44
878,24,13.5,6,44
879,25,15.5,5,44
880,26,17.5,4,44
881,27,17.5,3,44
882,28,17.5,2,44
883,29,17.5,1,44
884,30,19.5,0,44
885,0,-0.5,25,45
886,1,1.5,24,45
887,2,3.5,23,45
888,3,3.0,22,45
889,4,5.0,21,45
890,5,7.0,20,45
891,6,9.0,19,45
892,7,11.0,18,45
893,8,23.0,17,45
894,0,2.0,20,46
895,1,1.5,19,46
896,2,1.5,18,46
897,3,3.5,17,46
898,4,3.0,16,46
899,5,5.0,15,46
900,6,7.0,14,46
901,7,9.0,13,46
902,8,8.5,12,46
903,9,10.5,11,46
904,10,12.5,10,46
905,11,14.5,9,46
906,12,14.0,8,46
907,13,16.0,7,46
908,14,18.0,6,46
909,15,20.0,5,46
910,16,22.0,4,46
911,17,21.5,3,46
912,18,23.5,2,46
913,19,25.5,1,46
914,20,27.5,0,46
915,0,2.0,20,47
916,1,4.0,19,47
917,2,6.0,18,47
918,3,5.5,17,47
919,4,7.5,16,47
920,5,9.5,15,47
921,6,11.5,14,47
922,7,23.5,13,47
923,0,-0.5,25,48
924,1,1.5,24,48
925,2,3.5,23,48
926,3,5.5,22,48
927,4,7.5,21,48
928,5,9.5,20,48
929,6,21.5,19,48
930,0,2.0,35,49
931,1,1.5,34,49
932,2,1.0,33,49
933,3,3.0,32,49
934,4,3.0,31,49
935,5,5.0,30,49
936,6,4.5,29,49
937,7,6.5,28,49
938,8,6.0,27,49
939,9,8.0,26,49
940,10,7.5,25,49
941,11,7.0,24,49
942,12,9.0,23,49
943,13,8.0,22,49
944,14,10.0,21,49
945,15,12.0,20,49
946,16,14.0,19,49
947,17,16.0,18,49
948,18,15.5,17,49
949,19,17.5,16,49
950,20,19.5,15,49
951,21,19.0,14,49
952,22,18.0,13,49
953,23,20.0,12,49
954,24,22.0,11,49
955,25,24.0,10,49
956,26,26.0,9,49
957,27,25.5,8,49
958,28,27.5,7,49
959,29,29.5,6,49
960,30,28.5,5,49
961,31,30.5,4,49
962,32,32.5,3,49
