,Time,Reward,Deadline,Episode
0,0,-0.5,35,1
1,1,-1.5,34,1
2,2,-1.5,33,1
3,3,-1.5,32,1
4,4,-2.0,31,1
5,5,-2.0,30,1
6,6,0.0,29,1
7,7,0.0,28,1
8,8,-1.0,27,1
9,9,1.0,26,1
10,10,0.0,25,1
11,11,0.0,24,1
12,12,2.0,23,1
13,13,4.0,22,1
14,14,6.0,21,1
15,15,6.0,20,1
16,16,8.0,19,1
17,17,20.0,18,1
18,0,2.0,20,2
19,1,4.0,19,2
20,2,6.0,18,2
21,3,18.0,17,2
22,0,-1.0,20,3
23,1,-1.0,19,3
24,2,-1.0,18,3
25,3,1.0,17,3
26,4,0.0,16,3
27,5,-1.0,15,3
28,6,1.0,14,3
29,7,0.5,13,3
30,8,0.5,12,3
31,9,2.5,11,3
32,10,4.5,10,3
33,11,3.5,9,3
34,12,3.5,8,3
35,13,5.5,7,3
36,14,7.5,6,3
37,15,6.5,5,3
38,16,5.5,4,3
39,17,5.0,3,3
40,18,7.0,2,3
41,19,9.0,1,3
42,20,11.0,0,3
43,0,2.0,35,4
44,1,4.0,34,4
45,2,6.0,33,4
46,3,8.0,32,4
47,4,10.0,31,4
48,5,9.5,30,4
49,6,11.5,29,4
50,7,13.5,28,4
51,8,13.0,27,4
52,9,15.0,26,4
53,10,15.0,25,4
54,11,17.0,24,4
55,12,19.0,23,4
56,13,18.5,22,4
57,14,18.5,21,4
58,15,20.5,20,4
59,16,20.0,19,4
60,17,22.0,18,4
61,18,24.0,17,4
62,19,23.5,16,4
63,20,22.5,15,4
64,21,22.0,14,4
65,22,21.5,13,4
66,23,23.5,12,4
67,24,25.5,11,4
68,25,25.0,10,4
69,26,27.0,9,4
70,27,26.5,8,4
71,28,26.0,7,4
72,29,28.0,6,4
73,30,30.0,5,4
74,31,29.5,4,4
75,32,31.5,3,4
76,33,43.5,2,4
77,0,-0.5,25,5
78,1,1.5,24,5
79,2,3.5,23,5
80,3,3.0,22,5
81,4,5.0,21,5
82,5,7.0,20,5
83,6,6.5,19,5
84,7,6.0,18,5
85,8,8.0,17,5
86,9,10.0,16,5
87,10,12.0,15,5
88,11,14.0,14,5
89,12,14.0,13,5
90,13,26.0,12,5
91,0,-0.5,20,6
92,1,1.5,19,6
93,2,3.5,18,6
94,3,3.0,17,6
95,4,2.5,16,6
96,5,2.0,15,6
97,6,1.0,14,6
98,7,3.0,13,6
99,8,5.0,12,6
100,9,7.0,11,6
101,10,9.0,10,6
102,11,11.0,9,6
103,12,23.0,8,6
104,0,0.0,25,7
105,1,0.0,24,7
106,2,2.0,23,7
107,3,1.5,22,7
108,4,1.0,21,7
109,5,3.0,20,7
110,6,5.0,19,7
111,7,7.0,18,7
112,8,9.0,17,7
113,9,8.5,16,7
114,10,8.0,15,7
115,11,10.0,14,7
116,12,9.5,13,7
117,13,9.0,12,7
118,14,11.0,11,7
119,15,10.0,10,7
120,16,12.0,9,7
121,17,14.0,8,7
122,18,13.5,7,7
123,19,13.0,6,7
124,20,15.0,5,7
125,21,17.0,4,7
126,22,19.0,3,7
127,23,21.0,2,7
128,24,23.0,1,7
129,25,25.0,0,7
130,0,-0.5,20,8
131,1,1.5,19,8
132,2,1.0,18,8
133,3,3.0,17,8
134,4,3.0,16,8
135,5,2.5,15,8
136,6,2.0,14,8
137,7,4.0,13,8
138,8,6.0,12,8
139,9,5.5,11,8
140,10,7.5,10,8
141,11,7.0,9,8
142,12,9.0,8,8
143,13,11.0,7,8
144,14,10.5,6,8
145,15,12.5,5,8
146,16,14.5,4,8
147,17,14.0,3,8
148,18,16.0,2,8
149,19,15.5,1,8
150,20,14.5,0,8
151,0,2.0,40,9
152,1,4.0,39,9
153,2,3.5,38,9
154,3,3.0,37,9
155,4,5.0,36,9
156,5,7.0,35,9
157,6,9.0,34,9
158,7,8.5,33,9
