,Time,Total_Reward,Reward,Deadline,Episode
0,0,0.0,0.0,30,1
1,1,2.0,2.0,29,1
2,2,4.0,2.0,28,1
3,3,3.0,-1.0,27,1
4,4,3.0,0.0,26,1
5,5,2.5,-0.5,25,1
6,6,2.0,-0.5,24,1
7,7,1.5,-0.5,23,1
8,8,1.5,0.0,22,1
9,9,3.5,2.0,21,1
10,10,5.5,2.0,20,1
11,11,7.5,2.0,19,1
12,12,7.0,-0.5,18,1
13,13,9.0,2.0,17,1
14,14,8.5,-0.5,16,1
15,15,8.0,-0.5,15,1
16,16,10.0,2.0,14,1
17,17,9.5,-0.5,13,1
18,18,11.5,2.0,12,1
19,19,10.5,-1.0,11,1
20,20,9.5,-1.0,10,1
21,21,11.5,2.0,9,1
22,22,13.5,2.0,8,1
23,23,25.5,12.0,7,1
24,0,2.0,2.0,35,2
25,1,4.0,2.0,34,2
26,2,3.0,-1.0,33,2
27,3,2.0,-1.0,32,2
28,4,2.0,0.0,31,2
29,5,4.0,2.0,30,2
30,6,6.0,2.0,29,2
31,7,5.0,-1.0,28,2
32,8,7.0,2.0,27,2
33,9,6.0,-1.0,26,2
34,10,5.5,-0.5,25,2
35,11,5.5,0.0,24,2
36,12,5.5,0.0,23,2
37,13,5.5,0.0,22,2
38,14,4.5,-1.0,21,2
39,15,4.5,0.0,20,2
40,16,6.5,2.0,19,2
41,17,8.5,2.0,18,2
42,18,20.5,12.0,17,2
43,0,2.0,2.0,25,3
44,1,4.0,2.0,24,3
45,2,4.0,0.0,23,3
46,3,6.0,2.0,22,3
47,4,5.5,-0.5,21,3
48,5,7.5,2.0,20,3
49,6,9.5,2.0,19,3
50,7,11.5,2.0,18,3
51,8,13.5,2.0,17,3
52,9,25.5,12.0,16,3
53,0,2.0,2.0,40,4
54,1,4.0,2.0,39,4
55,2,6.0,2.0,38,4
56,3,5.0,-1.0,37,4
57,4,4.5,-0.5,36,4
58,5,4.0,-0.5,35,4
59,6,6.0,2.0,34,4
60,7,8.0,2.0,33,4
61,8,10.0,2.0,32,4
62,9,12.0,2.0,31,4
63,10,24.0,12.0,30,4
64,0,-0.5,-0.5,20,5
65,1,1.5,2.0,19,5
66,2,3.5,2.0,18,5
67,3,5.5,2.0,17,5
68,4,7.5,2.0,16,5
69,5,7.0,-0.5,15,5
70,6,9.0,2.0,14,5
71,7,21.0,12.0,13,5
72,0,2.0,2.0,20,6
73,1,1.5,-0.5,19,6
74,2,3.5,2.0,18,6
75,3,15.5,12.0,17,6
76,0,-0.5,-0.5,35,7
77,1,1.5,2.0,34,7
78,2,3.5,2.0,33,7
79,3,5.5,2.0,32,7
80,4,5.5,0.0,31,7
81,5,5.0,-0.5,30,7
82,6,4.5,-0.5,29,7
83,7,3.5,-1.0,28,7
84,8,5.5,2.0,27,7
85,9,7.5,2.0,26,7
86,10,7.0,-0.5,25,7
87,11,9.0,2.0,24,7
88,12,11.0,2.0,23,7
89,13,13.0,2.0,22,7
90,14,15.0,2.0,21,7
91,15,14.5,-0.5,20,7
92,16,14.0,-0.5,19,7
93,17,13.5,-0.5,18,7
94,18,15.5,2.0,17,7
95,19,14.5,-1.0,16,7
96,20,16.5,2.0,15,7
97,21,28.5,12.0,14,7
98,0,2.0,2.0,40,8
99,1,4.0,2.0,39,8
100,2,3.5,-0.5,38,8
101,3,3.0,-0.5,37,8
102,4,5.0,2.0,36,8
103,5,7.0,2.0,35,8
104,6,6.5,-0.5,34,8
105,7,6.0,-0.5,33,8
106,8,8.0,2.0,32,8
107,9,10.0,2.0,31,8
108,10,12.0,2.0,30,8
109,11,12.0,0.0,29,8
110,12,14.0,2.0,28,8
111,13,13.5,-0.5,27,8
112,14,12.5,-1.0,26,8
113,15,14.5,2.0,25,8
114,16,14.0,-0.5,24,8
115,17,14.0,0.0,23,8
116,18,13.5,-0.5,22,8
117,19,15.5,2.0,21,8
118,20,15.5,0.0,20,8
119,21,17.5,2.0,19,8
120,22,19.5,2.0,18,8
121,23,21.5,2.0,17,8
122,24,21.0,-0.5,16,8
123,25,23.0,2.0,15,8
124,26,25.0,2.0,14,8
125,27,27.0,2.0,13,8
126,28,26.5,-0.5,12,8
127,29,28.5,2.0,11,8
128,30,30.5,2.0,10,8
129,31,32.5,2.0,9,8
130,32,34.5,2.0,8,8
131,33,34.0,-0.5,7,8
132,34,36.0,2.0,6,8
133,35,38.0,2.0,5,8
134,36,40.0,2.0,4,8
135,37,52.0,12.0,3,8
136,0,2.0,2.0,20,9
137,1,2.0,0.0,19,9
138,2,4.0,2.0,18,9
139,3,3.5,-0.5,17,9
140,4,5.5,2.0,16,9
141,5,7.5,2.0,15,9
142,6,9.5,2.0,14,9
143,7,11.5,2.0,13,9
144,8,11.0,-0.5,12,9
145,9,13.0,2.0,11,9
146,10,15.0,2.0,10,9
147,11,17.0,2.0,9,9
148,12,29.0,12.0,8,9
149,0,2.0,2.0,35,10
150,1,4.0,2.0,34,10
151,2,3.5,-0.5,33,10
152,3,3.0,-0.5,32,10
153,4,5.0,2.0,31,10
154,5,7.0,2.0,30,10
155,6,6.5,-0.5,29,10
156,7,8.5,2.0,28,10
157,8,10.5,2.0,27,10
158,9,10.0,-0.5,26,10
159,10,12.0,2.0,25,10
160,11,14.0,2.0,24,10
161,12,16.0,2.0,23,10
162,13,15.5,-0.5,22,10
163,14,17.5,2.0,21,10
164,15,17.0,-0.5,20,10
165,16,19.0,2.0,19,10
166,17,21.0,2.0,18,10
167,18,23.0,2.0,17,10
168,19,22.5,-0.5,16,10
169,20,24.5,2.0,15,10
170,21,26.5,2.0,14,10
171,22,25.5,-1.0,13,10
172,23,27.5,2.0,12,10
173,24,29.5,2.0,11,10
174,25,41.5,12.0,10,10
175,0,2.0,2.0,20,11
176,1,4.0,2.0,19,11
177,2,3.5,-0.5,18,11
178,3,3.0,-0.5,17,11
179,4,5.0,2.0,16,11
180,5,4.0,-1.0,15,11
181,6,6.0,2.0,14,11
182,7,5.5,-0.5,13,11
183,8,5.0,-0.5,12,11
184,9,7.0,2.0,11,11
185,10,7.0,0.0,10,11
186,11,9.0,2.0,9,11
187,12,8.5,-0.5,8,11
188,13,10.5,2.0,7,11
189,14,10.5,0.0,6,11
190,15,10.0,-0.5,5,11
191,16,12.0,2.0,4,11
192,17,14.0,2.0,3,11
193,18,14.0,0.0,2,11
194,19,13.5,-0.5,1,11
195,20,13.0,-0.5,0,11
196,0,2.0,2.0,35,12
197,1,1.5,-0.5,34,12
198,2,1.0,-0.5,33,12
199,3,3.0,2.0,32,12
200,4,5.0,2.0,31,12
201,5,7.0,2.0,30,12
202,6,9.0,2.0,29,12
203,7,8.5,-0.5,28,12
204,8,10.5,2.0,27,12
205,9,12.5,2.0,26,12
206,10,14.5,2.0,25,12
207,11,16.5,2.0,24,12
208,12,16.0,-0.5,23,12
209,13,18.0,2.0,22,12
210,14,18.0,0.0,21,12
211,15,20.0,2.0,20,12
212,16,19.5,-0.5,19,12
213,17,21.5,2.0,18,12
214,18,23.5,2.0,17,12
215,19,25.5,2.0,16,12
216,20,27.5,2.0,15,12
217,21,27.0,-0.5,14,12
218,22,29.0,2.0,13,12
219,23,31.0,2.0,12,12
220,24,33.0,2.0,11,12
221,25,45.0,12.0,10,12
222,0,2.0,2.0,30,13
223,1,4.0,2.0,29,13
224,2,3.5,-0.5,28,13
225,3,5.5,2.0,27,13
226,4,7.5,2.0,26,13
227,5,9.5,2.0,25,13
228,6,9.0,-0.5,24,13
229,7,11.0,2.0,23,13
230,8,13.0,2.0,22,13
231,9,15.0,2.0,21,13
232,10,17.0,2.0,20,13
233,11,16.5,-0.5,19,13
234,12,18.5,2.0,18,13
235,13,20.5,2.0,17,13
236,14,22.5,2.0,16,13
237,15,22.0,-0.5,15,13
238,16,24.0,2.0,14,13
239,17,26.0,2.0,13,13
240,18,28.0,2.0,12,13
241,19,40.0,12.0,11,13
242,0,-0.5,-0.5,30,14
243,1,11.5,12.0,29,14
244,0,-0.5,-0.5,30,15
245,1,1.5,2.0,29,15
246,2,3.5,2.0,28,15
247,3,2.5,-1.0,27,15
248,4,2.0,-0.5,26,15
249,5,4.0,2.0,25,15
250,6,3.5,-0.5,24,15
251,7,5.5,2.0,23,15
252,8,7.5,2.0,22,15
253,9,9.5,2.0,21,15
254,10,21.5,12.0,20,15
255,0,-0.5,-0.5,35,16
256,1,-1.0,-0.5,34,16
257,2,1.0,2.0,33,16
258,3,0.5,-0.5,32,16
259,4,0.0,-0.5,31,16
260,5,2.0,2.0,30,16
261,6,4.0,2.0,29,16
262,7,6.0,2.0,28,16
263,8,5.5,-0.5,27,16
264,9,7.5,2.0,26,16
265,10,9.5,2.0,25,16
266,11,11.5,2.0,24,16
267,12,11.0,-0.5,23,16
268,13,13.0,2.0,22,16
269,14,15.0,2.0,21,16
270,15,17.0,2.0,20,16
271,16,19.0,2.0,19,16
272,17,21.0,2.0,18,16
273,18,33.0,12.0,17,16
274,0,2.0,2.0,35,17
275,1,4.0,2.0,34,17
276,2,3.5,-0.5,33,17
277,3,5.5,2.0,32,17
278,4,5.0,-0.5,31,17
279,5,7.0,2.0,30,17
280,6,6.0,-1.0,29,17
281,7,5.5,-0.5,28,17
282,8,5.0,-0.5,27,17
283,9,7.0,2.0,26,17
284,10,6.5,-0.5,25,17
285,11,8.5,2.0,24,17
286,12,10.5,2.0,23,17
287,13,10.5,0.0,22,17
288,14,12.5,2.0,21,17
289,15,12.0,-0.5,20,17
290,16,11.5,-0.5,19,17
291,17,13.5,2.0,18,17
292,18,15.5,2.0,17,17
293,19,15.0,-0.5,16,17
294,20,14.5,-0.5,15,17
295,21,16.5,2.0,14,17
296,22,16.0,-0.5,13,17
297,23,18.0,2.0,12,17
298,24,20.0,2.0,11,17
299,25,22.0,2.0,10,17
300,26,24.0,2.0,9,17
301,27,23.5,-0.5,8,17
302,28,25.5,2.0,7,17
303,29,27.5,2.0,6,17
304,30,29.5,2.0,5,17
305,31,31.5,2.0,4,17
306,32,43.5,12.0,3,17
307,0,2.0,2.0,40,18
308,1,1.5,-0.5,39,18
309,2,1.0,-0.5,38,18
310,3,3.0,2.0,37,18
311,4,5.0,2.0,36,18
312,5,7.0,2.0,35,18
313,6,9.0,2.0,34,18
314,7,8.5,-0.5,33,18
315,8,8.0,-0.5,32,18
316,9,10.0,2.0,31,18
317,10,9.5,-0.5,30,18
318,11,11.5,2.0,29,18
319,12,13.5,2.0,28,18
320,13,13.0,-0.5,27,18
321,14,15.0,2.0,26,18
322,15,14.5,-0.5,25,18
323,16,14.0,-0.5,24,18
324,17,16.0,2.0,23,18
325,18,18.0,2.0,22,18
326,19,20.0,2.0,21,18
327,20,22.0,2.0,20,18
328,21,34.0,12.0,19,18
329,0,2.0,2.0,25,19
330,1,4.0,2.0,24,19
331,2,6.0,2.0,23,19
332,3,8.0,2.0,22,19
333,4,7.5,-0.5,21,19
334,5,9.5,2.0,20,19
335,6,11.5,2.0,19,19
336,7,13.5,2.0,18,19
337,8,25.5,12.0,17,19
338,0,-0.5,-0.5,25,20
339,1,1.5,2.0,24,20
340,2,13.5,12.0,23,20
341,0,2.0,2.0,20,21
342,1,1.5,-0.5,19,21
343,2,1.5,0.0,18,21
344,3,3.5,2.0,17,21
345,4,5.5,2.0,16,21
346,5,7.5,2.0,15,21
347,6,19.5,12.0,14,21
348,0,2.0,2.0,20,22
349,1,4.0,2.0,19,22
350,2,6.0,2.0,18,22
351,3,8.0,2.0,17,22
352,4,7.5,-0.5,16,22
353,5,9.5,2.0,15,22
354,6,11.5,2.0,14,22
355,7,11.0,-0.5,13,22
356,8,13.0,2.0,12,22
