,Time,Total_Reward,Reward,Deadline,Episode
0,0,-1.0,-1.0,35,1
1,1,-1.0,0.0,34,1
2,2,-1.5,-0.5,33,1
3,3,-2.0,-0.5,32,1
4,4,0.0,2.0,31,1
5,5,-0.5,-0.5,30,1
6,6,1.5,2.0,29,1
7,7,1.5,0.0,28,1
8,8,1.0,-0.5,27,1
9,9,0.0,-1.0,26,1
10,10,-0.5,-0.5,25,1
11,11,-1.0,-0.5,24,1
12,12,1.0,2.0,23,1
13,13,1.0,0.0,22,1
14,14,3.0,2.0,21,1
15,15,2.0,-1.0,20,1
16,16,1.5,-0.5,19,1
17,17,3.5,2.0,18,1
18,18,3.0,-0.5,17,1
19,19,2.5,-0.5,16,1
20,20,2.0,-0.5,15,1
21,21,1.0,-1.0,14,1
22,22,1.0,0.0,13,1
23,23,1.0,0.0,12,1
24,24,3.0,2.0,11,1
25,25,2.0,-1.0,10,1
26,26,4.0,2.0,9,1
27,27,3.0,-1.0,8,1
28,28,5.0,2.0,7,1
29,29,5.0,0.0,6,1
30,30,4.5,-0.5,5,1
31,31,3.5,-1.0,4,1
32,32,3.0,-0.5,3,1
33,33,2.5,-0.5,2,1
34,34,4.5,2.0,1,1
35,35,6.5,2.0,0,1
36,0,2.0,2.0,25,2
37,1,4.0,2.0,24,2
38,2,4.0,0.0,23,2
39,3,3.0,-1.0,22,2
40,4,2.5,-0.5,21,2
41,5,2.0,-0.5,20,2
42,6,2.0,0.0,19,2
43,7,1.5,-0.5,18,2
44,8,1.5,0.0,17,2
45,9,1.0,-0.5,16,2
46,10,0.5,-0.5,15,2
47,11,0.5,0.0,14,2
48,12,-0.5,-1.0,13,2
49,13,1.5,2.0,12,2
50,14,1.5,0.0,11,2
51,15,3.5,2.0,10,2
52,16,5.5,2.0,9,2
53,17,5.0,-0.5,8,2
54,18,4.5,-0.5,7,2
55,19,4.0,-0.5,6,2
56,20,3.5,-0.5,5,2
57,21,3.5,0.0,4,2
58,22,2.5,-1.0,3,2
59,23,1.5,-1.0,2,2
60,24,1.0,-0.5,1,2
61,25,3.0,2.0,0,2
62,0,-1.0,-1.0,20,3
63,1,-1.0,0.0,19,3
64,2,-1.0,0.0,18,3
65,3,-2.0,-1.0,17,3
66,4,-2.5,-0.5,16,3
67,5,-0.5,2.0,15,3
68,6,-1.0,-0.5,14,3
69,7,-1.5,-0.5,13,3
