,Time,Reward,Deadline,Episode
0,0,0.0,35,1
1,1,-0.5,34,1
2,2,1.5,33,1
3,3,0.5,32,1
4,4,-0.5,31,1
5,5,1.5,30,1
6,6,3.5,29,1
7,7,5.5,28,1
8,8,4.5,27,1
9,9,4.0,26,1
10,10,3.5,25,1
11,11,2.5,24,1
12,12,2.0,23,1
13,13,1.0,22,1
14,14,0.0,21,1
15,15,2.0,20,1
16,16,1.5,19,1
17,17,3.5,18,1
18,18,2.5,17,1
19,19,2.5,16,1
20,20,4.5,15,1
21,21,6.5,14,1
22,22,8.5,13,1
23,23,8.5,12,1
24,24,7.5,11,1
25,25,9.5,10,1
26,26,11.5,9,1
27,27,10.5,8,1
28,28,22.5,7,1
29,0,2.0,20,2
30,1,4.0,19,2
31,2,3.0,18,2
32,3,2.5,17,2
33,4,4.5,16,2
34,5,6.5,15,2
35,6,8.5,14,2
36,7,8.0,13,2
37,8,7.5,12,2
38,9,9.5,11,2
39,10,11.5,10,2
40,11,13.5,9,2
41,12,12.5,8,2
42,13,12.0,7,2
43,14,14.0,6,2
44,15,14.0,5,2
45,16,16.0,4,2
46,17,15.0,3,2
47,18,15.0,2,2
48,19,15.0,1,2
49,20,17.0,0,2
50,0,2.0,35,3
51,1,4.0,34,3
52,2,3.0,33,3
53,3,3.0,32,3
54,4,2.5,31,3
55,5,2.5,30,3
56,6,4.5,29,3
57,7,6.5,28,3
58,8,8.5,27,3
59,9,20.5,26,3
60,0,-1.0,25,4
61,1,1.0,24,4
62,2,3.0,23,4
63,3,5.0,22,4
64,4,4.0,21,4
65,5,6.0,20,4
66,6,5.5,19,4
67,7,7.5,18,4
68,8,9.5,17,4
69,9,11.5,16,4
70,10,13.5,15,4
71,11,12.5,14,4
72,12,14.5,13,4
73,13,26.5,12,4
74,0,2.0,30,5
75,1,4.0,29,5
76,2,4.0,28,5
77,3,3.0,27,5
78,4,2.0,26,5
79,5,4.0,25,5
80,6,4.0,24,5
81,7,3.5,23,5
82,8,5.5,22,5
83,9,17.5,21,5
84,0,-1.0,25,6
85,1,-1.5,24,6
86,2,0.5,23,6
87,3,2.5,22,6
88,4,1.5,21,6
89,5,1.0,20,6
90,6,3.0,19,6
91,7,3.0,18,6
92,8,3.0,17,6
93,9,2.0,16,6
94,10,4.0,15,6
95,11,3.0,14,6
96,12,5.0,13,6
97,13,5.0,12,6
98,14,5.0,11,6
99,15,5.0,10,6
100,16,5.0,9,6
101,17,7.0,8,6
102,18,6.0,7,6
103,19,5.5,6,6
104,20,4.5,5,6
105,21,6.5,4,6
106,22,18.5,3,6
107,0,2.0,25,7
108,1,1.0,24,7
109,2,0.0,23,7
110,3,-0.5,22,7
111,4,1.5,21,7
112,5,1.5,20,7
113,6,0.5,19,7
114,7,-0.5,18,7
115,8,-0.5,17,7
116,9,1.5,16,7
117,10,3.5,15,7
118,11,5.5,14,7
119,12,5.0,13,7
120,13,7.0,12,7
121,14,9.0,11,7
122,15,8.5,10,7
123,16,10.5,9,7
124,17,12.5,8,7
125,18,12.5,7,7
126,19,11.5,6,7
127,20,23.5,5,7
128,0,2.0,25,8
129,1,4.0,24,8
130,2,4.0,23,8
131,3,3.0,22,8
132,4,2.0,21,8
133,5,1.0,20,8
134,6,3.0,19,8
135,7,5.0,18,8
136,8,17.0,17,8
137,0,0.0,20,9
138,1,0.0,19,9
139,2,-1.0,18,9
140,3,-1.5,17,9
141,4,0.5,16,9
142,5,0.5,15,9
143,6,0.0,14,9
144,7,2.0,13,9
145,8,4.0,12,9
146,9,6.0,11,9
147,10,8.0,10,9
148,11,7.0,9,9
149,12,7.0,8,9
150,13,19.0,7,9
151,0,2.0,30,10
152,1,4.0,29,10
153,2,3.5,28,10
154,3,3.5,27,10
155,4,2.5,26,10
156,5,1.5,25,10
157,6,3.5,24,10
158,7,5.5,23,10
159,8,4.5,22,10
160,9,4.0,21,10
161,10,6.0,20,10
162,11,6.0,19,10
163,12,8.0,18,10
164,13,10.0,17,10
165,14,9.0,16,10
166,15,21.0,15,10
167,0,2.0,25,11
168,1,1.5,24,11
169,2,0.5,23,11
170,3,0.0,22,11
171,4,2.0,21,11
172,5,2.0,20,11
173,6,4.0,19,11
174,7,6.0,18,11
175,8,5.0,17,11
176,9,7.0,16,11
177,10,6.5,15,11
178,11,8.5,14,11
179,12,10.5,13,11
180,13,9.5,12,11
181,14,9.5,11,11
182,15,21.5,10,11
183,0,0.0,20,12
184,1,-0.5,19,12
185,2,1.5,18,12
186,3,0.5,17,12
187,4,0.5,16,12
188,5,2.5,15,12
189,6,14.5,14,12
190,0,2.0,30,13
191,1,4.0,29,13
192,2,6.0,28,13
193,3,6.0,27,13
194,4,5.0,26,13
195,5,7.0,25,13
196,6,6.5,24,13
197,7,8.5,23,13
198,8,10.5,22,13
199,9,12.5,21,13
200,10,14.5,20,13
201,11,26.5,19,13
202,0,-1.0,25,14
203,1,-2.0,24,14
204,2,-2.5,23,14
205,3,-0.5,22,14
206,4,-1.0,21,14
207,5,1.0,20,14
208,6,3.0,19,14
209,7,5.0,18,14
210,8,4.5,17,14
211,9,3.5,16,14
212,10,2.5,15,14
213,11,2.5,14,14
214,12,2.0,13,14
215,13,4.0,12,14
216,14,3.0,11,14
217,15,2.0,10,14
218,16,4.0,9,14
219,17,6.0,8,14
220,18,8.0,7,14
221,19,20.0,6,14
222,0,-1.0,45,15
223,1,-1.5,44,15
224,2,-2.5,43,15
225,3,-0.5,42,15
226,4,1.5,41,15
227,5,1.0,40,15
228,6,3.0,39,15
229,7,5.0,38,15
230,8,7.0,37,15
231,9,6.0,36,15
232,10,8.0,35,15
233,11,7.0,34,15
234,12,6.0,33,15
235,13,6.0,32,15
236,14,6.0,31,15
237,15,8.0,30,15
238,16,10.0,29,15
239,17,12.0,28,15
240,18,14.0,27,15
241,19,13.0,26,15
242,20,25.0,25,15
243,0,-0.5,40,16
244,1,1.5,39,16
245,2,0.5,38,16
246,3,-0.5,37,16
247,4,1.5,36,16
248,5,3.5,35,16
249,6,2.5,34,16
250,7,1.5,33,16
251,8,0.5,32,16
252,9,2.5,31,16
253,10,2.5,30,16
254,11,1.5,29,16
255,12,0.5,28,16
256,13,0.5,27,16
257,14,-0.5,26,16
258,15,1.5,25,16
259,16,3.5,24,16
260,17,3.5,23,16
261,18,3.0,22,16
262,19,2.0,21,16
263,20,4.0,20,16
264,21,6.0,19,16
265,22,5.0,18,16
266,23,7.0,17,16
267,24,19.0,16,16
268,0,2.0,40,17
269,1,1.0,39,17
270,2,1.0,38,17
271,3,0.0,37,17
272,4,-1.0,36,17
273,5,1.0,35,17
274,6,3.0,34,17
275,7,2.0,33,17
276,8,1.0,32,17
277,9,0.5,31,17
278,10,2.5,30,17
279,11,2.0,29,17
280,12,1.0,28,17
281,13,0.0,27,17
282,14,-0.5,26,17
283,15,1.5,25,17
284,16,3.5,24,17
285,17,5.5,23,17
286,18,7.5,22,17
287,19,9.5,21,17
288,20,9.5,20,17
289,21,8.5,19,17
290,22,8.5,18,17
291,23,8.0,17,17
292,24,10.0,16,17
293,25,9.0,15,17
294,26,8.5,14,17
295,27,7.5,13,17
296,28,7.0,12,17
297,29,9.0,11,17
298,30,11.0,10,17
299,31,10.5,9,17
300,32,12.5,8,17
301,33,12.5,7,17
302,34,12.0,6,17
303,35,14.0,5,17
304,36,13.0,4,17
305,37,13.0,3,17
306,38,12.5,2,17
307,39,12.5,1,17
308,40,11.5,0,17
309,0,2.0,25,18
310,1,1.0,24,18
311,2,1.0,23,18
312,3,1.0,22,18
313,4,0.5,21,18
314,5,0.5,20,18
315,6,2.5,19,18
316,7,4.5,18,18
317,8,6.5,17,18
318,9,6.0,16,18
319,10,8.0,15,18
320,11,10.0,14,18
321,12,10.0,13,18
322,13,12.0,12,18
323,14,14.0,11,18
324,15,13.0,10,18
325,16,12.0,9,18
326,17,11.0,8,18
327,18,11.0,7,18
328,19,10.0,6,18
329,20,22.0,5,18
330,0,2.0,20,19
331,1,4.0,19,19
332,2,3.5,18,19
333,3,5.5,17,19
334,4,7.5,16,19
335,5,9.5,15,19
336,6,11.5,14,19
337,7,23.5,13,19
338,0,2.0,35,20
339,1,2.0,34,20
340,2,1.5,33,20
341,3,1.5,32,20
342,4,0.5,31,20
343,5,2.5,30,20
344,6,1.5,29,20
345,7,1.5,28,20
346,8,0.5,27,20
347,9,2.5,26,20
348,10,4.5,25,20
349,11,3.5,24,20
350,12,3.0,23,20
351,13,2.0,22,20
352,14,1.5,21,20
353,15,3.5,20,20
354,16,5.5,19,20
355,17,7.5,18,20
356,18,9.5,17,20
357,19,9.0,16,20
358,20,11.0,15,20
359,21,13.0,14,20
360,22,13.0,13,20
361,23,15.0,12,20
362,24,14.0,11,20
363,25,16.0,10,20
364,26,16.0,9,20
365,27,16.0,8,20
366,28,18.0,7,20
367,29,17.0,6,20
368,30,19.0,5,20
369,31,21.0,4,20
370,32,23.0,3,20
371,33,35.0,2,20
372,0,2.0,20,21
373,1,2.0,19,21
374,2,1.5,18,21
375,3,3.5,17,21
376,4,5.5,16,21
377,5,4.5,15,21
378,6,3.5,14,21
379,7,3.5,13,21
380,8,5.5,12,21
381,9,7.5,11,21
382,10,7.0,10,21
383,11,9.0,9,21
384,12,11.0,8,21
385,13,13.0,7,21
386,14,12.0,6,21
387,15,14.0,5,21
388,16,26.0,4,21
389,0,0.0,55,22
390,1,-1.0,54,22
391,2,-2.0,53,22
392,3,-2.5,52,22
393,4,-0.5,51,22
394,5,1.5,50,22
395,6,3.5,49,22
396,7,3.5,48,22
397,8,2.5,47,22
398,9,4.5,46,22
399,10,6.5,45,22
400,11,6.5,44,22
401,12,5.5,43,22
402,13,5.0,42,22
403,14,7.0,41,22
404,15,6.5,40,22
405,16,6.5,39,22
406,17,8.5,38,22
407,18,20.5,37,22
408,0,2.0,30,23
409,1,4.0,29,23
410,2,3.0,28,23
411,3,5.0,27,23
412,4,7.0,26,23
413,5,6.0,25,23
414,6,8.0,24,23
415,7,10.0,23,23
416,8,9.0,22,23
417,9,11.0,21,23
418,10,10.0,20,23
419,11,9.5,19,23
420,12,11.5,18,23
421,13,13.5,17,23
422,14,15.5,16,23
423,15,17.5,15,23
424,16,19.5,14,23
425,17,18.5,13,23
426,18,30.5,12,23
427,0,2.0,40,24
428,1,2.0,39,24
429,2,1.0,38,24
430,3,3.0,37,24
431,4,2.5,36,24
432,5,2.5,35,24
433,6,2.0,34,24
434,7,4.0,33,24
435,8,4.0,32,24
436,9,6.0,31,24
437,10,5.5,30,24
438,11,7.5,29,24
439,12,9.5,28,24
440,13,11.5,27,24
441,14,13.5,26,24
442,15,13.0,25,24
443,16,15.0,24,24
444,17,14.5,23,24
445,18,13.5,22,24
446,19,13.5,21,24
447,20,13.0,20,24
448,21,15.0,19,24
449,22,17.0,18,24
450,23,16.5,17,24
451,24,16.5,16,24
452,25,16.5,15,24
453,26,15.5,14,24
454,27,17.5,13,24
455,28,19.5,12,24
456,29,19.0,11,24
457,30,21.0,10,24
458,31,23.0,9,24
459,32,22.0,8,24
460,33,22.0,7,24
461,34,21.0,6,24
462,35,20.5,5,24
463,36,19.5,4,24
464,37,18.5,3,24
465,38,18.0,2,24
466,39,20.0,1,24
467,40,19.5,0,24
468,0,2.0,30,25
469,1,4.0,29,25
470,2,3.0,28,25
471,3,2.5,27,25
472,4,1.5,26,25
473,5,0.5,25,25
474,6,2.5,24,25
475,7,4.5,23,25
476,8,4.5,22,25
477,9,4.5,21,25
478,10,6.5,20,25
479,11,8.5,19,25
480,12,7.5,18,25
481,13,7.0,17,25
482,14,9.0,16,25
483,15,11.0,15,25
484,16,13.0,14,25
485,17,25.0,13,25
486,0,-1.0,25,26
487,1,-1.0,24,26
488,2,-2.0,23,26
489,3,0.0,22,26
490,4,-1.0,21,26
491,5,1.0,20,26
492,6,1.0,19,26
493,7,1.0,18,26
494,8,3.0,17,26
495,9,5.0,16,26
496,10,4.0,15,26
497,11,4.0,14,26
498,12,16.0,13,26
499,0,2.0,20,27
500,1,4.0,19,27
501,2,6.0,18,27
502,3,6.0,17,27
503,4,6.0,16,27
504,5,18.0,15,27
505,0,2.0,40,28
506,1,4.0,39,28
507,2,4.0,38,28
508,3,3.5,37,28
509,4,2.5,36,28
510,5,2.0,35,28
511,6,4.0,34,28
512,7,3.5,33,28
513,8,5.5,32,28
514,9,7.5,31,28
515,10,7.5,30,28
516,11,6.5,29,28
517,12,8.5,28,28
518,13,20.5,27,28
519,0,2.0,25,29
520,1,4.0,24,29
521,2,3.5,23,29
522,3,2.5,22,29
523,4,2.0,21,29
524,5,4.0,20,29
525,6,6.0,19,29
526,7,8.0,18,29
527,8,10.0,17,29
528,9,12.0,16,29
529,10,11.0,15,29
530,11,10.0,14,29
531,12,12.0,13,29
532,13,24.0,12,29
533,0,2.0,20,30
534,1,1.0,19,30
535,2,0.0,18,30
536,3,0.0,17,30
537,4,-1.0,16,30
538,5,1.0,15,30
539,6,3.0,14,30
540,7,15.0,13,30
541,0,2.0,20,31
542,1,4.0,19,31
543,2,3.5,18,31
544,3,5.5,17,31
545,4,7.5,16,31
546,5,9.5,15,31
547,6,9.5,14,31
548,7,8.5,13,31
549,8,8.0,12,31
550,9,8.0,11,31
551,10,10.0,10,31
552,11,12.0,9,31
553,12,11.0,8,31
554,13,13.0,7,31
555,14,12.5,6,31
556,15,14.5,5,31
557,16,16.5,4,31
558,17,18.5,3,31
559,18,17.5,2,31
560,19,16.5,1,31
561,20,15.5,0,31
562,0,2.0,40,32
563,1,2.0,39,32
564,2,1.5,38,32
565,3,3.5,37,32
566,4,5.5,36,32
567,5,4.5,35,32
568,6,4.0,34,32
569,7,6.0,33,32
570,8,5.0,32,32
571,9,7.0,31,32
572,10,19.0,30,32
573,0,2.0,25,33
574,1,4.0,24,33
575,2,3.5,23,33
576,3,5.5,22,33
577,4,4.5,21,33
578,5,3.5,20,33
579,6,5.5,19,33
580,7,4.5,18,33
581,8,6.5,17,33
582,9,5.5,16,33
583,10,5.0,15,33
584,11,7.0,14,33
585,12,19.0,13,33
586,0,-0.5,35,34
587,1,-1.5,34,34
588,2,-2.5,33,34
589,3,-3.0,32,34
590,4,-1.0,31,34
591,5,1.0,30,34
592,6,1.0,29,34
593,7,0.0,28,34
594,8,-1.0,27,34
595,9,1.0,26,34
596,10,3.0,25,34
597,11,5.0,24,34
598,12,7.0,23,34
599,13,6.0,22,34
600,14,5.5,21,34
601,15,7.5,20,34
602,16,19.5,19,34
603,0,2.0,35,35
604,1,1.5,34,35
605,2,0.5,33,35
606,3,-0.5,32,35
607,4,1.5,31,35
608,5,3.5,30,35
609,6,5.5,29,35
610,7,5.5,28,35
